,일련번호,의료기관명,병상수,소 재 지,개설주체_민간 또는공공,개설일자,전화번호,구,행정동명
0,1,창원경상국립대학교병원,533,"경상남도 창원시 성산구 삼정자로 11 (성주동, 창원경상대학교병원)",공공,2016-01-15,055-214-2000,성산구,성주동
1,2,의료법인 한마음국제의료재단 한마음창원병원,376,경상남도 창원시 성산구 원이대로682번길 21 (상남동),민간,2002-04-01,055-267-2000,성산구,상남동
2,3,재단법인대구포교성베네딕도수녀회창원파티마병원,441,경상남도 창원시 의창구 창이대로 45 (명서동),민간,1983-02-02,055-270-1000,의창구,
3,4,근로복지공단 창원병원,267,경상남도 창원시 성산구 창원대로 721 (중앙동),공공,1979-11-26,055-280-7619,성산구,중앙동
4,5,의료법인청아의료재단청아병원,279,경상남도 창원시 마산회원구 내서읍 광려천서로 67 (청아병원),민간,2002-07-03,055-230-1500,마산회원구,내서읍
5,6,의료법인합포의료재단에스엠지연세병원,347,"경상남도 창원시 마산합포구 3·15대로 76 (월남동2가, 합포의료재단)",민간,2002-06-01,055-243-0100,마산합포구,
6,7,의료법인석영의료재단창원제일종합병원,233,경상남도 창원시 마산합포구 3·15대로 238 (중앙동3가),민간,2002-05-01,055-223-9000,마산합포구,중앙동
7,8,경상남도마산의료원,298,경상남도 창원시 마산합포구 3·15대로 231 (중앙동3가),공공,1984-02-23,055-249-1000,마산합포구,중앙동
8,9,학교법인성균관대학삼성창원병원,762,"경상남도 창원시 마산회원구 팔용로 158 (합성동, 삼성창원병원)",민간,1981-03-11,055-233-8899,마산회원구,
9,10,연세에스병원,291,경상남도 창원시 진해구 해원로32번길 13,민간,2003-12-05,055-548-7700,진해구,
10,27,희연병원,150,"경상남도 창원시 성산구 원이대로393번길 25, 케이프타운 4-5층 일부, 6층 지하1-2층 일부호 (반지동)",민간,2020-12-14,055-270-2500,성산구,
11,28,화사랑병원,62,"경상남도 창원시 의창구 용동로83번안길 3, 화사랑메디컬 3-5층 (사림동)",민간,2019-12-17,055-602-3119,의창구,
12,29,구트병원,61,"경상남도 창원시 성산구 원이대로 578 (중앙동, 구트병원빌딩 8-12층)",민간,2015-01-28,055-262-9000,성산구,중앙동
13,30,굿모닝내과병원,47,경상남도 창원시 의창구 사화로 6 (팔용동),민간,2014-09-11,055-265-2800,의창구,
14,31,의료법인 상원의료재단 창원힘찬병원,123,경상남도 창원시 의창구 의창대로 45 (소계동),민간,2013-10-18,055-230-9138,의창구,
15,32,the큰병원,79,"경상남도 창원시 의창구 우곡로217번길 10 (명서동, 지하1,2층지상2,3,4,5,6,7,8층)",민간,2009-11-23,055-270-0920,의창구,
16,33,모란여성병원,36,"경상남도 창원시 성산구 마디미서로 56 (상남동, 2,3,4,5,6,7,10층)",민간,2009-04-08,055-253-3555,성산구,상남동
17,34,메트로병원,240,경상남도 창원시 의창구 평산로219번길 3 (중동),민간,2008-09-08,055-259-7700,의창구,
18,35,서울이비인후과병원,30,"경상남도 창원시 성산구 상남로 73 (상남동, 서울메디컬빌딩8,9,10층(1002호))",민간,2007-07-16,055-282-2800,성산구,상남동
19,36,상남굿모닝내과병원,36,"경상남도 창원시 성산구 상남로 73 (상남동, 서울메디컬빌딩6,7층)",민간,2007-06-29,055-266-7582,성산구,상남동
20,37,의료법인석경의료재단창원센텀병원,55,"경상남도 창원시 성산구 중앙대로 104 (상남동, 마이우스빌딩3층)",민간,2006-10-25,055-211-0800,성산구,상남동
21,38,허&리병원,84,"경상남도 창원시 의창구 지귀로 6 (봉곡동, 1,2,3,5,6층)",민간,2005-09-26,055-288-7577,의창구,
22,39,CNA서울아동병원,53,"경상남도 창원시 성산구 마디미서로 54 (상남동, 7,8,9,12층)",민간,2003-03-04,055-262-8511,성산구,상남동
23,40,창원중앙병원,150,경상남도 창원시 성산구 대암로 40-4 (남양동),민간,1995-03-09,055-289-9111,성산구,
